Peak,Elev-M,Prom-M,Country,State/Prov,County,Range,Url,PeakBagger PID,Latitude,Longitude,note,osmId,safeToCreate
Col della Croce,2443.8,401,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46613,46613,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Col della Croce),,false
La Rocca,2439.8,632.4,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13952,13952,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 La Rocca),,false
Monte Luco,2433.3,651.7,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=13956,13956,,,"unresolved: no confident spatial match and multiple strong-name candidates (candidates: 0 Monte Buso; 0 Monte Lupo; 0 Monte Lucci, ...)",,false
Cima d'Oltro,2394.8,301,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=216349,216349,,,matched via exact name,2491762700,false
Cima di Sette Selle,2393.4,323.3,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46603,46603,,,matched via exact name,3092059364,false
Cima Dódici,2337,1872.3,Italy,Trentino-Alto Adige/Veneto,Vicenza/Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=10127,10127,45.99764,11.46797,matched via strong spatial match,26862704,false
Monte Muro,2332,463,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=45752,45752,,,"unresolved: no confident spatial match and multiple strong-name candidates (candidates: 0 Monte Moro; 0 Monte Nero; 0 Monte Naro, ...)",,false
Cima Cavallazza,2324.5,353.3,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=45241,45241,,,unresolved: no confident spatial match and no strong-name match,,true
Corno Bianco,2317,328,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46906,46906,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Corno Bianco),,false
Plan de Corones,2275,516,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=96723,96723,,,unresolved: no confident spatial match and no strong-name match,,false
Cima Carega,2258.3,1187.7,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13591,13591,,,matched via exact name,304859594,false
Monte Cadria,2253.9,1433.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=1451,1451,,,matched via exact name,26863801,false
Monte Pasúbio,2232.7,1068.7,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13624,13624,,,unresolved: no confident spatial match and no strong-name match,,true
