Peak,Elev-M,Prom-M,Country,State/Prov,County,Range,Url,PeakBagger PID,Latitude,Longitude,note,osmId,safeToCreate
Abbotts Lookout,1103,561,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74023,74023,,,matched via exact name,2418790348,false
Abel Peak,602,342,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78072,78072,,,matched via exact name,2491839803,false
Acheron Peak,890,380,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77933,77933,,,unresolved: no confident spatial match and no strong-name match,,true
Adamsons Peak,1225,474,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=70588,70588,,,matched via exact name,2385896539,false
Albert Hill,451,221,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78091,78091,,,unresolved: no confident spatial match and no strong-name match,,true
Alexandra Hills,580,260,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77016,77016,,,unresolved: no confident spatial match and no strong-name match,,true
Algonkian Mountain,1073,463,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78077,78077,,,matched via exact name,2319164228,false
Anderson Bluff,1092,292,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78139,78139,,,matched via exact name,2384916851,false
Archers Sugarloaf,650,240,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=119850,119850,,,unresolved: no confident spatial match and no strong-name match,,true
Argent Hill,560,330,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77794,77794,,,unresolved: no confident spatial match and no strong-name match,,true
Artist Hill,566,176,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77831,77831,,,matched via exact name,13566056686,false
Asbestos Range High Point,390,180,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=136171,136171,,,unresolved: no confident spatial match and no strong-name match,,true
Atkins Range,690,210,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78118,78118,,,unresolved: no confident spatial match and no strong-name match,,true
Badger Peak,570,250,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78225,78225,,,unresolved: no confident spatial match and no strong-name match,,true
Badger Peak,570,250,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78225,78225,,,unresolved: no confident spatial match and no strong-name match,,true
Bakers Ridge,580,380,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78235,78235,,,unresolved: no confident spatial match and no strong-name match,,true
Balaclava Hill,914,244,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77837,77837,,,unresolved: no confident spatial match and no strong-name match,,true
Bare Hill,277,241,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78248,78248,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Bare Hill),,false
Barn Back,706,356,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78016,78016,,,unresolved: no confident spatial match and no strong-name match,,true
Barn Bluff,1559,622,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=11510,11510,,,matched via exact name,647633411,false
Battlement Hills,920,190,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77990,77990,,,matched via exact name,2452437194,false
Battlement Hills - East Peak,893,173,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77989,77989,,,unresolved: no confident spatial match and no strong-name match,,false
Bedlam Wall,922,172,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77833,77833,,,matched via exact name,2362806713,false
Bell Mount,803,223,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=229664,229664,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Mount Bell),,false
Ben Nevis,1368,558,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=11506,11506,,,matched via exact name,2362782753,false
Big Silver,333,193,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=120044,120044,,,unresolved: no confident spatial match and no strong-name match,,true
Black Bluff Range,1340,510,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76402,76402,,,unresolved: no confident spatial match and no strong-name match,,false
Black Hill,684,164,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77036,77036,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Black Hill),,false
Blackwater Hill,374,286,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78209,78209,,,unresolved: no confident spatial match and no strong-name match,,true
Blue Hill,554,204,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78145,78145,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Blue Hill),,false
Bobs Knobs,981,151,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78194,78194,,,matched via exact name,2371745690,false
Bonds Craig,1260,170,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=84138,84138,,,matched via exact name,2372928093,false
Boyd Hill,870,260,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78130,78130,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Boyd Hill),,false
Boyd Island High Point,579,271,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74082,74082,,,unresolved: no confident spatial match and no strong-name match,,true
Bradshaws Hill,511,204,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77911,77911,,,unresolved: no confident spatial match and no strong-name match,,true
Bradys Sugarloaf,1024,284,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=100870,100870,,,matched via exact name,2360040550,false
Brains Hill,412,262,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=154425,154425,,,matched via strong-name fallback,3008759585,false
Brewery Knob,1203,153,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76405,76405,,,matched via exact name,2359580617,false
Brougham Sugarloaf,452,362,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=119776,119776,,,unresolved: no confident spatial match and no strong-name match,,true
Brown Mountain,792,352,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=100869,100869,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Brown Mountain),,false
Buckies Bonnet,728,318,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78127,78127,,,unresolved: no confident spatial match and no strong-name match,,true
Butlers Hill,670,200,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=154426,154426,,,matched via exact name,3008759595,false
Byatts Razorback,1015,344,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=49553,49553,,,matched via exact name,2360133706,false
Camp Hill,1172,202,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76444,76444,,,matched via exact name,2364311337,false
Campbells Hill South,999,619,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=87650,87650,,,unresolved: no confident spatial match and no strong-name match,,false
Cape Sorrell Plateau,270,220,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78026,78026,,,unresolved: no confident spatial match and no strong-name match,,true
Carbonate Hill,670,150,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77919,77919,,,unresolved: no confident spatial match and no strong-name match,,true
Castle Mountain,1208,262,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76441,76441,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Castle Mountain),,false
Celtic Hill,771,181,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78132,78132,,,matched via exact name,2358494623,false
Centaurus Ridge,1043,163,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78174,78174,,,matched via exact name,2358381916,false
Centre Star,943,263,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77987,77987,,,unresolved: no confident spatial match and no strong-name match,,true
Chalmers Hill,737,256,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77007,77007,,,unresolved: no confident spatial match and no strong-name match,,true
Cheyne Range,1290,150,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76434,76434,,,matched via exact name,2402942705,false
Cinder Hill,850,380,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78213,78213,,,matched via exact name,2407665086,false
Clear Hill,1198,758,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=34589,34589,,,matched via exact name,2401398355,false
Cluan Tiers,860,220,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=100859,100859,,,unresolved: no confident spatial match and no strong-name match,,true
Clumner Bluff,1458,218,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=11511,11511,,,matched via exact name,2362597026,false
Collins Bonnet,1261,282,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74128,74128,,,matched via exact name,2478513264,false
Collins Cap,1094,188,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74127,74127,,,matched via exact name,661992334,false
Commonwealth Hill,676,206,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77793,77793,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Commonwealth Hill),,false
Conical Mountain,1124,242,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76449,76449,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Conical Mountain),,false
Convergence Hill,660,410,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78136,78136,,,unresolved: no confident spatial match and no strong-name match,,true
Convict Peak,587,364,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78070,78070,,,matched via exact name,2498987661,false
Counsels Peak,509,424,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74086,74086,,,matched via exact name,3008759630,false
Cracroft Hills,890,585,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77940,77940,,,unresolved: no confident spatial match and no strong-name match,,true
Cracroft Hills - Northwest Peak,792,312,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77939,77939,,,unresolved: no confident spatial match and no strong-name match,,true
Cradle Mountain,1545,355,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=11509,11509,,,matched via exact name,59141009,false
Crescent Mountain,390,160,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=136213,136213,,,matched via exact name,2358585346,false
Crest Range,1020,420,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78189,78189,,,unresolved: no confident spatial match and no strong-name match,,true
Crossing Peak,486,206,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78226,78226,,,unresolved: no confident spatial match and no strong-name match,,true
Crossing Sugarloaf,499,319,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78224,78224,,,unresolved: no confident spatial match and no strong-name match,,true
Cummings Head,1260,180,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76396,76396,,,unresolved: no confident spatial match and no strong-name match,,false
Curtis Island High Point,335,335,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74083,74083,,,unresolved: no confident spatial match and no strong-name match,,true
D'Aguilar Range,680,190,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78030,78030,,,unresolved: no confident spatial match and no strong-name match,,true
Davey Head,346,315,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78210,78210,,,matched via exact name,2939016561,false
Davey Sugarloaf,512,382,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78228,78228,,,matched via exact name,2939016562,false
De Witt Island High Point,363,363,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74117,74117,,,unresolved: no confident spatial match and no strong-name match,,true
Deal Island High Point,296,296,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74098,74098,,,unresolved: no confident spatial match and no strong-name match,,true
Dennes Hill,215,211,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=119852,119852,,,unresolved: no confident spatial match and no strong-name match,,true
Detached Peak,735,389,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78093,78093,,,matched via exact name,2398877281,false
Detention Peak,545,266,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=100395,100395,,,matched via exact name,3008759645,false
Diamond Peak,1066,256,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78080,78080,,,matched via exact name,2452437196,false
Dogs Head Hill,470,210,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=229663,229663,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Dogs Head Hill),,false
Dohertys Range,570,250,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78096,78096,,,unresolved: no confident spatial match and no strong-name match,,true
Dohertys Range,570,250,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78096,78096,,,unresolved: no confident spatial match and no strong-name match,,true
Dome Hill,1177,210,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76443,76443,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Dome Hill),,false
Dorado Peak,1068,198,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78163,78163,,,matched via exact name,2358217539,false
Double Peak,1061,391,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=34590,34590,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Double Peak),,false
Double Peak,510,310,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=119854,119854,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Double Peak),,false
Drys Bluff Southwest,1340,190,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76394,76394,,,unresolved: no confident spatial match and no strong-name match,,false
Du Cane Range High Point,1520,580,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=70678,70678,,,unresolved: no confident spatial match and no strong-name match,,true
East Hill,195,195,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74092,74092,,,matched via exact name,13515992718,false
East Tower,1122,452,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76410,76410,,,unresolved: no confident spatial match and no strong-name match,,false
Eastern Crest Range,934,154,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78188,78188,,,unresolved: no confident spatial match and no strong-name match,,true
Eldon Bluff,1361,371,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76431,76431,,,matched via exact name,2318027477,false
Eldon Crag,1321,161,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76432,76432,,,matched via exact name,2318030267,false
Eldon Peak,1440,610,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=34580,34580,,,matched via exact name,2276458766,false
Elliot Range,911,661,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=34600,34600,,,unresolved: no confident spatial match and no strong-name match,,true
Engineer Range,742,262,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77915,77915,,,unresolved: no confident spatial match and no strong-name match,,true
Erith Island High Point,173,173,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74096,74096,,,unresolved: no confident spatial match and no strong-name match,,true
Esperance Peak,1056,219,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78151,78151,,,matched via exact name,2385896540,false
Everlasting Hills,750,160,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77928,77928,,,unresolved: no confident spatial match and no strong-name match,,true
Federation Peak,1225,805,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=11539,11539,,,matched via exact name,2358249504,false
Firths Peak,790,190,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77996,77996,,,unresolved: no confident spatial match and no strong-name match,,true
Flame Peak,1122,392,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76450,76450,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Flame Peak),,false
Flat Top Hill,446,286,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78024,78024,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Flat Top Hill),,false
Florentine Peak,1376,163,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76414,76414,,,matched via exact name,2372859580,false
Fluted Cape,272,165,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74130,74130,,,unresolved: no confident spatial match and no strong-name match,,true
Folded Range,966,466,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78212,78212,,,unresolved: no confident spatial match and no strong-name match,,true
Forest Hills,767,337,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78192,78192,,,unresolved: no confident spatial match and no strong-name match,,true
Frankland Peak,1083,775,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74075,74075,,,matched via exact name,2442061845,false
Franklin Hills,690,210,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77916,77916,,,matched via exact name,2374581404,false
Frenchmans Cap,1446,969,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=11529,11529,,,matched via exact name,2368193205,false
Fury Flat Hill,580,200,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77009,77009,,,unresolved: no confident spatial match and no strong-name match,,true
Gallagher Plateau,990,300,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78137,78137,,,unresolved: no confident spatial match and no strong-name match,,true
Gentle Annie,162,162,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=11500,11500,-40.034593,144.018332,matched via strong spatial match,220517806,false
Gibraltar,567,151,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78191,78191,-43.371007,146.543927,unresolved: no confident spatial match and no strong-name match,,true
Gog,741,292,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=100401,100401,-41.512704,146.465448,unresolved: no confident spatial match and no strong-name match,,true
Going Hill,217,207,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78285,78285,-43.385028,145.937963,matched via strong spatial match,2939016565,false
Goodwins Peak,574,294,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78071,78071,-42.473205,145.789497,matched via strong spatial match,2498987681,false
Gooseneck Hill,990,220,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77033,77033,-41.8576,145.568665,unresolved: no confident spatial match and no strong-name match,,true
Gordon Hill,600,240,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78115,78115,-42.772881,146.002271,unresolved: no confident spatial match and no strong-name match,,true
Gordon Range,829,199,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77981,77981,-42.579962,146.378102,unresolved: no confident spatial match and no strong-name match,,true
Gorge Ridge,337,187,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78178,78178,-43.262675,146.346452,unresolved: no confident spatial match and no strong-name match,,true
Goulds Sugarloaf,1425,401,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=84141,84141,-42.066754,145.999932,matched via strong spatial match,2364313121,false
Granite Tor,1034,184,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77013,77013,-41.737696,145.77924,matched via strong spatial match,2277806332,false
Grasstree Hill,545,424,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=119777,119777,-42.776,147.354,"matched via exact name (spatial diff: 77.2m, elev diff: 1m)",3008759701,false
Grey Mountain,831,465,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=100415,100415,-43.091276,147.116346,matched via strong spatial match,3008759707,false
Greystone Bluff,1019,629,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=34609,34609,-43.076068,146.054454,matched via strong spatial match,2407665098,false
Guncarriage Hill,166,166,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74106,74106,-40.275368,148.30101,"matched via exact name (spatial diff: 51.2m, elev diff: 0m)",3008759710,false
Hamilton Range,934,584,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74076,74076,-42.697482,145.953841,unresolved: no confident spatial match and no strong-name match,,true
Hardwood Hill,426,196,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78197,78197,-42.923592,145.818143,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Hardwood Hill) (nearest 560.1m),,false
Harlequin Hill,605,289,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78131,78131,-42.978844,146.333824,unresolved: no confident spatial match and no strong-name match,,true
Harrys Bluff,739,279,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78264,78264,-43.300103,146.290147,matched via strong spatial match,2358253623,false
Hartz Peak,1254,838,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=11538,11538,-43.245462,146.768097,matched via strong spatial match,1972843527,false
Havelock Bluff,444,186,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78275,78275,-43.533398,146.460393,unresolved: no confident spatial match and no strong-name match,,true
High Dome,1366,466,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=76430,76430,-41.988205,145.927191,matched via strong spatial match,2318219269,false
High Round Mountain,760,370,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78265,78265,-43.337306,146.298409,matched via strong spatial match,2358253624,false
High Tor,861,231,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77015,77015,-41.738032,145.713623,unresolved: no confident spatial match and no strong-name match,,true
High Yellow Bluff,499,407,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=119773,119773,-42.92,147.987,unresolved: no confident spatial match and no strong-name match,,true
Hill Two,1036,206,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78253,78253,-43.469491,146.759362,matched via strong spatial match,2398952499,false
Hoskyn Peak,236,236,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74097,74097,-39.475128,147.284603,matched via strong spatial match,13485398210,false
Huntsmans Cap,720,180,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=136251,136251,-41.521,148.106,unresolved: no confident spatial match and no strong-name match,,true
Huon Peak,887,407,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78135,78135,-43.066254,146.394753,unresolved: no confident spatial match and no strong-name match,,true
Ile Du Golfe High Point,156,156,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74113,74113,-43.568204,146.525903,unresolved: no confident spatial match and no strong-name match,,true
Innes High Rocky,1083,203,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77998,77998,-42.47637,146.139193,matched via strong spatial match,2452437201,false
Inveraestra Hill,745,205,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77920,77920,-42.277595,145.771194,unresolved: no confident spatial match and no strong-name match,,true
Ironbound Range,1061,637,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=34603,34603,-43.4993,146.470517,matched via strong spatial match,2407547500,false
Ironstone Mountain,1444,194,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=84146,84146,-41.711471,146.47699,matched via strong spatial match,1515175424,false
Isolated Hill,325,235,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78207,78207,-43.10631,145.766065,unresolved: no confident spatial match and no strong-name match,,true
Jilletts Tier,1057,267,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=100850,100850,-42.088876,146.972888,matched via strong spatial match,2368124391,false
Johnstones Lookout,479,171,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=74021,74021,-42.9855,146.229799,unresolved: no confident spatial match and no strong-name match,,true
Jubilee Range,1013,333,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78015,78015,-42.881342,146.548605,unresolved: no confident spatial match and no strong-name match,,true
Julia Peak,918,282,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77029,77029,-41.891097,145.594747,unresolved: no confident spatial match and no strong-name match,,true
Junction Hill,790,220,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78011,78011,-42.820966,146.381686,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Junction Hill),,false
Junction Peak,667,157,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=77917,77917,-42.207732,145.938263,matched via strong spatial match,2374581405,false
Junction Range,650,150,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78119,78119,-42.791685,146.129966,unresolved: no confident spatial match and no strong-name match,,true
Junction Ridge,263,163,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78243,78243,-43.283118,146.313289,unresolved: no confident spatial match and no strong-name match,,true
Jupiter Hill,823,150,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78169,78169,-43.193836,146.325853,unresolved: no confident spatial match and no strong-name match,,true
Kellys Lookout,587,301,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=119853,119853,-41.304,146.776,unresolved: no confident spatial match and no strong-name match,,true
Kemps Hill,880,155,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78023,78023,-42.898793,146.818993,matched via strong spatial match,2478724657,false
Kermandie Divide,700,160,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78147,78147,-43.217124,146.871779,unresolved: no confident spatial match and no strong-name match,,true
Kimberleys Lookout,548,268,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=230347,230347,-41.364,146.355,"matched via exact name (spatial diff: 85.5m, elev diff: 0m)",2364126013,false
King Billy Range,550,270,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=78029,78029,-42.61776,145.68517,unresolved: no confident spatial match and no strong-name match,,true
King Davids Peak,1499,449,Australia,Tasmania,,Tasmania,https://www.peakbagger.com/peak.aspx?pid=75543,75543,-41.816522,146.28798,matched via strong spatial match,1806094662,false
