Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
Coal Hill,1190,55G,4 19 180,53 45 360,-42.03965,146.02352,1
Coalmine Crag,1486,55G,5 53 790,54 00 610,-41.54436,147.64492,1
Collins Bonnet,1260,55G,5 12 200,52 52 050,-42.88405,147.1494,2
Collins Cap,1098,55G,5 11 380,52 54 680,-42.86038,147.1393,1
"Columba, Mount",1042,55G,4 43 170,52 20 370,-43.16729,146.30087,2
Conical Mountain,1124,55G,4 30 670,52 91 130,-42.5291,146.15583,2
"Connection, Mount",1130,55G,5 14 400,52 52 240,-42.8823,147.17633,1
Corner Peak,865,55G,4 25 880,52 30 305,-43.07634,146.08952,2
Coronation Peak,1054,55G,4 19 370,52 48 440,-42.9124,146.01218,6
"Coronets, The",876,55G,4 37 200,52 50 680,-42.8939,146.23085,2
"Counsel, Mount",802,55G,4 38 080,51 89 130,-43.44817,146.23474,3
Cracroft Hills,891,55G,3 93 770,53 03 720,-42.41156,145.70896,2
Cradle Mountain,1545,55G,4 12 730,53 84 690,-41.68478,145.9514,4
Crest Range,1020,55G,4 60 600,52 07 270,-43.28636,146.51435,3
"Cripps, Mount",943,55G,3 97 160,53 96 090,-41.58026,145.76632,1
"Cullen, Mount",721,55G,4 32 530,52 56 980,-42.83678,146.17442,1
"Cupola, The",970,55G,4 22 750,52 45 540,-42.93886,146.05319,2
"Curly, Mount",1065,55G,4 33 000,52 91 190,-42.52877,146.18421,4
"Cuvier, Mount",1378,55G,4 19 260,53 46 970,-42.02516,146.02471,3
D'Arcys Bluff,1182,55G,4 42 490,53 28 440,-42.19408,146.30346,1
"Daedalus, Mount",400,55G,6 07 360,53 13 390,-42.32433,148.30297,1
"Darwin, Mount",1033,55G,3 83 330,53 20 960,-42.25484,145.5856,2
"Dawson, Mount",1062,55G,4 58 750,52 89 550,-42.54534,146.49761,1
Dean Bluff,1294,55G,4 28 210,53 66 500,-41.85015,146.13519,1
Detention Peak,540,55G,3 71 140,54 57 570,-41.02289,145.4673,1
"Dial, Mount",480,55G,4 19 630,54 42 240,-41.1672,146.04195,1
"Dial, The",1083,55G,4 55 710,52 13 800,-43.22729,146.45461,2
Diamond Peak,1066,55G,4 21 740,52 98 430,-42.46252,146.04811,8
"Discovery, Mount",650,55G,3 85 270,52 86 870,-42.56205,145.60231,1
Dome Hill,1177,55G,4 03 420,53 56 950,-41.93351,145.83504,2
Dorado Peak,1068,55G,4 43 000,52 21 850,-43.15395,146.29893,3
Double Peak,1061,55G,4 19 730,52 46 800,-42.9272,146.01636,3
"Dove, Mount",485,55G,6 08 070,53 32 570,-42.15154,148.30801,1
"Dromedary, Mount",989,55G,5 09 555,52 71 075,-42.71276,147.11669,1
Druids Hill,845,55G,4 48 920,52 45 780,-42.9389,146.37394,1
Drys Bluff,1330,55G,4 83 865,53 81 940,-41.71417,146.80604,1
Du Cane Range,1520,55G,4 21 285,53 58 740,-41.91937,146.05074,1
"Duncan, Mount",681,55G,4 19 140,54 39 200,-41.19453,146.03571,1
"Dundas, Mount",1143,55G,3 73 370,53 60 710,-41.8954,145.47349,2
East Portal,1008,55G,4 54 600,52 14 310,-43.22263,146.44098,3
"Edith, Mount",772,55G,3 33 160,54 09 290,-41.45063,145.00259,2
Eldon Bluff,1361,55G,4 02 770,53 52 170,-41.97647,145.82642,5
Eldon Peak,1439,55G,3 94 980,53 52 350,-41.97385,145.73244,5
"Elephant, Mount",757,55G,6 03 935,53 91 945,-41.61745,148.24753,1
"Eliza, Mount",1289,55G,4 51 645,52 43 100,-42.96321,146.4071,2
Elliot Range,911,55G,3 94 830,52 96 400,-42.47761,145.7205,2
"Emma, Mount",964,55G,4 15 450,53 15 430,-42.30878,145.97411,2
"Emmett, Mount",1410,55G,4 15 335,53 81 915,-41.71005,145.98231,1
"Eros, Mount",1373,55G,4 19 670,53 58 140,-41.92461,146.03119,1
Esperance Peak,1056,55G,4 84 550,52 05 570,-43.30254,146.80951,2
Eve Peak,1357,55G,4 53 170,52 44 360,-42.95196,146.42591,1
"Everett, Mount",892,55G,4 05 090,54 20 620,-41.36033,145.86529,1
False Dome,1093,55G,4 28 320,52 93 420,-42.50827,146.12751,2
"Farrell, Mount",711,55G,3 86 720,53 77 160,-41.74931,145.63752,1
"Faulkner, Mount",900,55G,5 15 870,52 61 870,-42.79555,147.19406,1
Federation Peak,1225,55G,4 57 460,52 08 910,-43.27142,146.47578,10
"Field East, Mount",1274,55G,4 71 020,52 77 500,-42.65442,146.64643,2
"Field West, Mount",1434,55G,4 60 240,52 77 235,-42.65632,146.51489,3
"Fincham, Mount",802,55G,3 93 130,53 23 910,-42.22968,145.70492,2
Fisher Bluff,1408,55G,4 43 920,53 82 490,-41.7074,146.32593,1
Flame Peak,1089,55G,4 28 820,52 93 590,-42.50678,146.13362,2
Flat Bluff,1060,55G,4 01 180,53 31 300,-42.1642,145.8037,1
Florentine Peak,1376,55G,4 62 050,52 73 940,-42.68608,146.53676,2
Folded Range,966,55G,4 30 810,52 35 730,-43.02796,146.15075,2
"Fortescue, Mount",490,55G,5 78 670,52 19 690,-43.17146,147.96787,1
Forty Lakes Peak,1351,55G,4 52 870,53 79 940,-41.73095,146.4333,1
"Foster, Mount",1012,55G,5 73 770,53 79 470,-41.73316,147.88705,1
Four Peaks 3,1069,55G,4 55 500,52 10 220,-43.25951,146.45173,2
Frankland Peak,1083,55G,4 30 470,52 40 260,-42.98714,146.14714,3
"Frederick, Mount",921,55G,4 71 960,52 33 380,-43.05176,146.6557,1
Frenchmans Cap,1446,55G,4 03 540,53 19 610,-42.26975,145.83033,7
"Freycinet, Mount",620,55G,6 07 610,53 25 340,-42.2167,148.30378,1
"Gables, The",1058,55G,4 55 850,52 11 380,-43.24909,146.45614,2
Geeves Bluff,1152,55G,4 56 550,52 07 970,-43.27984,146.46449,2
"Geikie, Mount",1193,55G,3 82 350,53 52 530,-41.97044,145.58008,2
"Gell, Mount",1447,55G,4 19 460,53 32 770,-42.15306,146.02517,4
"Geryon (North), Mount",1516,55G,4 21 625,53 57 795,-41.92792,146.05471,5
"Geryon (South), Mount",1509,55G,4 21 625,53 57 630,-41.9294,146.05469,8
"Giblin, Mount",881,55G,4 32 000,52 37 960,-43.00799,146.16562,2
"Gnomon, Mount",490,55G,4 18 900,54 41 380,-41.17487,146.03314,1
Gog Range,740,55G,4 55 530,54 04 170,-41.51287,146.46708,1
"Gould, Mount",1491,55G,4 21 335,53 52 620,-41.97449,146.05053,4
Goulds Sugarloaf,1425,55G,4 17 240,53 42 310,-42.06692,145.99965,2
"Graham, Mount",579,55G,6 08 720,53 25 890,-42.2116,148.31713,1
Granite Tor,1034,55G,3 98 490,53 78 630,-41.73766,145.77931,2
Great Dome,1232,55G,4 40 400,52 88 470,-42.55387,146.27402,1
Great Pine Tier,1311,55G,4 45 330,53 66 400,-41.85242,146.3414,1
