Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
Mother Cummings Head,1260,55G,4 61 905,53 85 630,-41.68019,146.5423,1
Mountains of Jupiter,1320,55G,4 32 110,53 56 420,-41.94127,146.181,2
"Mueller, Mount",1245,55G,4 55 540,52 63 980,-42.77543,146.45651,2
"Murchison, Mount",1275,55G,3 85 200,53 70 500,-41.80906,145.61796,3
"Needles, The",1108,55G,4 55 390,52 13 750,-43.22772,146.45066,2
"Nereus, Mount",1184,55G,4 11 780,53 58 460,-41.92089,145.93609,4
Nescient Peak,1125,55G,4 33 020,53 67 020,-41.84589,146.19318,1
Nevada Peak,1390,55G,4 70 590,52 48 020,-42.91987,146.63965,2
"Oakleigh, Mount",1286,55G,4 20 005,53 72 030,-41.79956,146.0371,3
"Olympus (North), Mount",1472,55G,4 24 980,53 45 655,-42.03757,146.09362,3
"Orion, Mount",1151,55G,4 40 390,52 23 300,-43.1407,146.26699,3
"Orthys, Mount",1279,55G,4 28 560,53 43 235,-42.0597,146.13658,1
"Ossa, Mount",1614,55G,4 19 750,53 64 125,-41.87072,146.03296,4
"Owen, Mount",1146,55G,3 84 560,53 38 400,-42.098,145.60396,1
Parson and Clerk Mountain,1210,55G,5 03 990,53 59 200,-41.91914,147.04812,1
"Patrick, Mount",1119,55G,4 98 930,53 52 420,-41.98022,146.98708,1
"Pelion East, Mount",1461,55G,4 22 610,53 65 655,-41.85723,146.06762,2
"Pelion West, Mount",1560,55G,4 15 110,53 68 400,-41.83174,145.97767,5
"Penny West, Mount",1140,55G,4 95 770,53 47 030,-42.02875,146.9489,1
Perrins Bluff,1420,55G,4 14 380,53 63 440,-41.87633,145.96816,3
Philps Peak,1282,55G,4 06 330,53 17 880,-42.28567,145.86387,4
Philps Ridge,1238,55G,4 08 030,53 17 240,-42.29164,145.88439,3
"Picton, Mount",1327,55G,4 68 065,52 21 640,-43.15732,146.6072,3
"Pillinger, Mount",1280,55G,4 27 490,53 70 360,-41.81532,146.12699,2
Pindars Peak,1230,55G,4 74 660,51 82 040,-43.51414,146.68648,5
Pokana Peak,1127,55G,4 33 900,52 87 420,-42.56279,146.19473,2
Precipitous Bluff,1145,55G,4 67 880,51 87 860,-43.46148,146.60295,9
"Proteus, Mount",1152,55G,4 10 870,53 69 830,-41.8184,145.92683,1
Pyramid Mountain,1259,55G,4 12 240,53 44 400,-42.04755,145.93954,2
Quamby Bluff,1228,55G,4 74 790,53 88 730,-41.65278,146.69724,2
Ragged Jack,1369,55G,5 48 840,53 99 485,-41.55481,147.58566,2
Rats Castle,1393,55G,4 70 990,53 67 990,-41.83945,146.65059,1
"Read, Mount",1124,55G,3 78 970,53 66 380,-41.84523,145.54214,1
Recondite Knob,1170,55G,4 03 480,53 91 080,-41.62617,145.84131,1
Reeds Peak,1290,55G,4 40 760,52 89 050,-42.54867,146.27846,3
