Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
"Pelion West, Mount",1560,55G,4 15 110,53 68 400,-41.83174,145.97767,5
Perrins Bluff,1420,55G,4 14 380,53 63 440,-41.87633,145.96816,3
Philps Peak,1282,55G,4 06 330,53 17 880,-42.28567,145.86387,4
"Picton, Mount",1327,55G,4 68 065,52 21 640,-43.15732,146.6072,3
"Pillinger, Mount",1280,55G,4 27 490,53 70 360,-41.81532,146.12699,2
Pindars Peak,1230,55G,4 74 660,51 82 040,-43.51414,146.68648,5
Precipitous Bluff,1145,55G,4 67 880,51 87 860,-43.46148,146.60295,9
Procyon Peak,1136,55G,4 39 840,52 23 670,-43.13732,146.26027,3
Propsting Range,894,55G,4 09 540,52 31 700,-43.06201,145.88906,2
Quamby Bluff,1228,55G,4 74 790,53 88 730,-41.65278,146.69724,2
Reeds Peak,1290,55G,4 40 760,52 89 050,-42.54867,146.27846,3
"Robinson, Mount",887,55G,4 31 640,52 23 660,-43.13672,146.15945,3
"Rogoona, Mount",1350,55G,4 33 405,53 62 065,-41.89054,146.19726,2
"Roland, Mount",1233,55G,4 38 690,54 09 750,-41.4615,146.26586,2
"Rugby, Mount",771,55G,4 28 010,52 02 360,-43.32816,146.11204,3
"Saddleback, Mount",1256,55G,5 63 565,54 16 780,-41.39801,147.7604,2
"Sarah Jane, Mount",1290,55G,4 54 580,52 41 380,-42.97888,146.44295,3
Schnells Ridge,1087,55G,4 52 760,52 36 340,-43.02415,146.4202,2
Secheron Peak,1068,55G,4 31 100,52 40 140,-42.98828,146.15485,2
Sentinel Range,974,55G,4 38 140,52 53 390,-42.86958,146.24266,2
"Sirius, Mount",1151,55G,4 40 180,52 22 550,-43.14743,146.26433,3
Snowy South,1398,55G,4 72 120,52 45 510,-42.94253,146.65827,2
"Solitary, Mount",852,55G,4 38 890,52 43 680,-42.95707,146.25078,3
"Sorell, Mount",1144,55G,3 79 800,53 18 990,-42.27204,145.54241,3
"Spires, The",1122,55G,4 28 630,52 93 690,-42.50587,146.13132,6
"Spurling, Mount",1280,55G,4 31 130,53 52 480,-41.97667,146.16872,1
St Patricks Head,683,55G,6 03 030,53 96 945,-41.57254,148.23581,1
