Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
Black Johnnys Tier,1082,55G,4 96 760,53 45 770,-42.04011,146.96085,1
Black Mountain,440,55G,5 65 640,52 18 970,-43.17919,147.80767,1
Black Pinnacle ,782,55G,5 24 740,52 91 350,-42.52984,147.30124,1
Black Sugarloaf,503,55G,4 83 460,54 17 910,-41.39017,146.80216,1
Black Tier,775,55G,5 07 840,52 96 960,-42.47967,147.09539,1
"Black, Mount",929,55G,3 80 650,53 75 580,-41.76264,145.56422,1
"Blackboy, Mount",882,55G,5 73 390,54 16 280,-41.40167,147.87798,1
Blackmans Hill,661,55G,4 97 800,52 92 900,-42.51627,146.97322,1
"Blackwood, Mount",1326,55G,4 89 840,53 70 540,-41.81695,146.87767,1
"Block, Mount",806,55G,3 86 790,53 87 590,-41.6554,145.64035,1
Blue Hill,890,55G,4 88 710,53 13 330,-42.3322,146.86296,1
Blue Peak,540,55G,3 62 350,54 41 270,-41.16822,145.35914,1
Blue Peaks,1350,55G,4 47 890,53 81 640,-41.71533,146.37357,1
Blumont,670,55G,5 34 190,54 40 220,-41.18865,147.4077,1
Bobs Knobs,981,55G,4 67 920,52 02 650,-43.32831,146.60431,1
"Bobs, Mount",1111,55G,4 67 300,52 06 390,-43.29461,146.59688,6
Boiler Plates,1039,55G,4 55 480,52 14 260,-43.22314,146.45181,1
"Bolton, Mount",478,55G,3 38 770,54 11 760,-41.42954,145.07038,1
Bonds Craig,1260,55G,4 40 750,52 90 680,-42.53399,146.27851,3
Bonds Hill,1030,55G,4 10 710,54 01 670,-41.53164,145.92967,1
"Boomerang, The",1081,55G,4 68 750,52 05 915,-43.29894,146.61473,2
"Bounty, Mount",600,55G,5 22 470,52 00 170,-43.35099,147.27726,1
"Bowes, Mount",956,55G,4 51 710,52 55 080,-42.85534,146.40893,2
"Braddon, Mount",727,55G,4 30 840,52 18 590,-43.18229,146.14898,2
Bradys Lookout,1362,55G,4 93 270,53 67 600,-41.84347,146.91894,1
Bradys Sugarloaf,1024,55G,4 61 270,53 21 420,-42.25846,146.53044,1
Brazen Nose,710,55G,4 30 600,54 05 870,-41.49579,146.16855,1
Brewery Knob,1203,55G,4 09 430,53 88 940,-41.64614,145.9124,1
"Bridges, Mount",1208,55G,4 65 520,52 76 100,-42.6668,146.57924,1
Briggs Bluff,642,55G,3 92 160,53 22 340,-42.24368,145.69287,1
"Brock, Mount",623,55G,4 27 220,51 89 320,-43.44549,146.10056,1
Broken Bluff,1340,55G,5 62 500,53 94 310,-41.60047,147.74999,1
Brown Mountain,792,55G,5 43 170,52 83 670,-42.59819,147.52622,1
Brown Mountain,835,55G,4 08 840,53 20 740,-42.26022,145.89476,1
Brown Mountain,974,55G,4 70 710,52 84 420,-42.59209,146.643,1
"Bruche, Mount",504,55G,5 45 030,53 29 990,-42.18094,147.54527,1
"Bruny, Mount",504,55G,5 23 480,51 85 820,-43.48017,147.29034,1
Burgess Bluff,1082,55G,4 66 040,52 13 755,-43.22823,146.5818,2
Burns Hill,384,55G,4 96 410,52 04 640,-43.31107,146.95573,1
Burns Peak,660,55G,3 78 390,53 84 650,-41.68063,145.53889,1
Burns Pinnacles,617,55G,3 78 460,53 85 470,-41.67326,145.5399,1
"Burrows, Mount",628,55G,5 42 300,53 08 150,-42.37778,147.51381,1
Butchers Peak,461,55G,5 94 090,55 49 250,-40.20188,148.10553,1
Butlers Hill,670,55G,5 25 030,52 81 160,-42.62159,147.30522,1
Buzzietop,889,55G,5 07 630,52 48 300,-42.91788,147.09349,1
Byatts Razorback,1018,55G,5 67 965,53 97 280,-41.57327,147.81523,1
"Byron, Mount",1375,55G,4 22 155,53 46 485,-42.02982,146.05961,3
"Calder, Mount",370,55G,5 51 450,52 82 420,-42.60894,147.62726,1
Calders Lookout,993,55G,4 21 720,53 27 570,-42.20011,146.05182,1
"Calf, The",1152,55G,4 85 290,52 00 060,-43.35217,146.81849,1
"Calvary, Mount",380,55G,5 55 880,52 79 460,-42.63528,147.68156,1
"Camel, The",1009,55G,4 28 210,52 92 560,-42.516,146.12606,2
"Cameron, Mount",551,55G,5 79 220,54 62 830,-40.98186,147.94169,1
Camp Hill,1172,55G,4 03 840,53 44 400,-42.04657,145.83806,1
"Campbell, Mount",1248,55G,4 14 455,53 87 895,-41.6561,145.97259,1
Campbells Hill,995,55G,5 67 950,53 62 260,-41.88867,147.81905,1
Canning Peak,854,55G,4 00 670,53 65 200,-41.85888,145.80327,1
"Canopus, Mount",1056,55G,4 49 630,52 20 160,-43.16964,146.38032,2
Capella Crags,1049,55G,4 37 590,52 24 810,-43.12688,146.23273,1
"Capricorn, Mount",1037,55G,4 42 120,52 21 670,-43.15551,146.28809,3
"Careless, Mount",500,55G,4 82 160,54 25 300,-41.32358,146.78683,1
Carina Peak,1008,55G,4 47 700,52 20 390,-43.16744,146.3566,2
"Cartwright, Mount",598,55G,5 43 040,53 13 740,-42.3274,147.52238,1
Castle Cary,580,55G,5 58 950,53 79 310,-41.73584,147.70888,1
Castle Crag/Falling Mtn,1482,55G,4 25 150,53 59 770,-41.91047,146.09747,4
Castle Hill (North),761,55G,4 07 900,52 23 720,-43.13366,145.8676,1
Castle Mountain,1208,55G,4 04 420,53 50 550,-41.99126,145.84606,2
"Castor, Mount",773,55G,4 48 120,52 08 620,-43.27345,146.36066,1
Cathcart Bluff,1146,55G,4 88 130,53 73 650,-41.78892,146.85714,1
Cathedral Mountain,1387,55G,4 26 190,53 62 320,-41.88761,146.11033,1
Cathedral Rock,884,55G,5 15 640,52 46 220,-42.93649,147.19168,2
"Cattley, Mount",944,55G,4 04 700,54 06 240,-41.48979,145.85836,1
"Cawthorn, Mount",731,55G,4 29 120,52 49 770,-42.90139,146.13179,1
Celtic Hill,771,55G,4 47 890,52 46 490,-42.93244,146.36138,1
Centaurus Ridge,1043,55G,4 49 500,52 18 170,-43.18755,146.37854,1
Central Peak,1070,55G,3 83 020,53 28 963,-42.18274,145.58345,1
Centre Star,943,55G,4 37 170,52 86 510,-42.57126,146.23446,2
"Chapman, Mount",1086,55G,4 66 250,52 16 470,-43.20379,146.58456,2
"Charles, Mount",1030,55G,4 38 000,53 32 565,-42.15659,146.24953,1
"Charles, Mount",1046,55G,5 05 930,52 52 230,-42.88251,147.07262,1
"Charter, Mount",840,55G,3 89 670,53 91 300,-41.6224,145.67561,1
Cheyne Range,1290,55G,4 18 790,53 37 180,-42.11327,146.01767,2
"Chimera, The",1111,55G,4 24 050,53 31 920,-42.16117,146.0806,2
"Chin, The",1116,55G,3 82 190,53 52 020,-41.97501,145.57805,1
Chinners Lookout,917,55G,4 57 600,52 92 130,-42.52204,146.48379,1
"Christie, Mount",650,55G,5 55 840,53 78 740,-41.7412,147.67154,1
Church Peak,1200,55G,4 24 920,53 20 670,-42.26256,146.08968,2
Cinder Hill,850,55G,4 21 600,52 34 750,-43.03589,146.03758,2
Circinus Peaks,1469,55G,5 50 470,54 02 860,-41.52431,147.60493,1
"Citadel, The",929,55G,4 23 880,52 43 620,-42.95626,146.06677,3
"Clark, Mount",404,55G,4 90 240,52 94 300,-42.5036,146.88121,1
"Clark, Mount",494,55G,5 63 550,52 27 480,-43.10274,147.78098,1
Clarks Timber,1240,55G,4 62 270,53 60 230,-41.90898,146.54507,1
"Claude, Mount",1034,55G,4 32 980,54 06 380,-41.49139,146.19712,1
Clear Hill,1198,55G,4 40 370,52 74 950,-42.67561,146.27224,2
Cleft Peak,946,55G,4 25 940,52 42 900,-42.96295,146.09193,2
Clemes Peak,410,55G,5 77 330,52 30 890,-43.07076,147.94982,1
"Cleveland, Mount",858,55G,3 64 510,54 10 030,-41.44988,145.37792,1
Cluan Tiers,860,55G,4 83 740,53 88 590,-41.65427,146.80472,1
Clumner Bluff,1458,55G,4 38 100,53 76 930,-41.75705,146.2554,2
Clytemnestra,1271,55G,4 02 550,53 17 820,-42.28575,145.81802,3
