Series,Name,Parent,MGRS,eastingMin,eastingMax,northingMin,northingMax,mgrsMid,eastingMid,northingMid,p1,p2,p3,p4,p5,p6,p7,p8,,,,,,,,,,,,,,,,,,,,,,,,
TL08,Hummocky,8213,EP   ,0,39999,60000,89999,EP,20000,75000,EP0000089999,EP3999989999,EP3999960000,EP0000060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL06,Jerusalem,8114,DP   ,20000,59999,60000,89999,DP,40000,75000,DP2000089999,DP5999989999,DP5999960000,DP2000060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB08,Kent Group,,ES   ,0,39999,30000,59999,ES,20000,45000,ES0000059999,ES3999959999,ES3999930000,ES0000030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN06,King William,8212,DP   ,20000,59999,0,29999,DP,40000,15000,DP2000029999,DP5999929999,DP5999900000,DP2000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM09,Lake Leake,8213,EP   ,40000,79999,30000,59999,EP,60000,45000,EP4000059999,EP7999959999,EP7999930000,EP4000030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQ06,Lake Pedder,8112,DN   ,20000,59999,40000,69999,DN,40000,55000,DN2000069999,DN5999969999,DN5999940000,DN2000040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL04,Lake Pieman,7914,CP   ,40000,79999,60000,89999,CP,60000,75000,CP4000089999,CP7999989999,CP7999960000,CP4000060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ09,Legerwood,8416,EQ   ,40000,79999,20000,49999,EQ,60000,35000,EQ4000049999,EQ7999949999,EQ7999920000,EQ4000020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN04,Macquarie Harbour,7913,CP   ,40000,79999,0,29999,CP,60000,15000,CP4000029999,CP7999929999,CP7999900000,CP4000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP10,Maria,8313,EN FN  ,80000,19999,70000,99999,FN,00000,85000,EN8000099999,FN1999999999,FN1999970000,EN8000070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP07,Meadowbank,8212,DN   ,60000,99999,70000,99999,DN,80000,85000,DN6000099999,DN9999999999,DN9999970000,DN6000070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TK07,Meander Valley,8114,DP  DQ ,60000,99999,90000,19999,DQ,80000,5000,DQ6000019999,DQ9999919999,DP9999990000,DP6000090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH03,Montagu River,7916,BQ CQ   ,98000,39999,50000,79999,CQ,69000,65000,BQ 98000 79999,CQ 39999 79999,CQ 39999 50000,BQ 98000 50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM10,Moulting Lagoon,8514,EP FP  ,80000,19999,30000,59999,FP,00000,45000,EP8000059999,FP1999959999,FP1999930000,EP8000030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH10,Mount William,8517,EQ FQ  ,80000,19999,50000,79999,FQ,00000,65000,EQ8000079999,FQ1999979999,FQ1999950000,EQ8000050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL05,Murchison,8113,CP DP  ,80000,19999,60000,89999,DP,00000,75000,CP8000089999,DP1999989999,DP1999960000,CP8000060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TK10,Nicholas,8416,EP FP EQ FQ,80000,19999,90000,19999,FQ,00000,5000,EQ8000019999,FQ1999919999,FP1999990000,EP8000090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH08,Noland,,EQ   ,0,39999,50000,79999,EQ,20000,65000,EQ0000079999,EQ3999979999,EQ3999950000,EQ0000050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TK03,Norfolk Range,7915,CP  CQ ,10000,39999,64000,19999,CQ,25000,42000,CQ 10000 19999,CQ 39999 19999,CP 39999 64000,CP 30000 64000,CP 30000 78000,CP 10000 78000,,,,,,,,,,,,,,,,,,,,,,,,,,
